"Notes"	"Month"	"Month Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Apr., 2018"	"2018/04"	"Arizona"	"04"	122	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Arkansas"	"05"	31	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"California"	"06"	427	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Colorado"	"08"	74	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Connecticut"	"09"	80	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Delaware"	"10"	36	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"District of Columbia"	"11"	37	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Florida"	"12"	402	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Georgia"	"13"	116	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Hawaii"	"15"	24	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Idaho"	"16"	25	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Illinois"	"17"	234	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Indiana"	"18"	143	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Iowa"	"19"	20	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Kansas"	"20"	28	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Kentucky"	"21"	122	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Louisiana"	"22"	97	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Maine"	"23"	38	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Maryland"	"24"	204	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Massachusetts"	"25"	176	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Michigan"	"26"	204	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Minnesota"	"27"	45	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Mississippi"	"28"	17	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Missouri"	"29"	121	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Nebraska"	"31"	11	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Nevada"	"32"	55	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"New Hampshire"	"33"	37	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"New Jersey"	"34"	224	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"New Mexico"	"35"	45	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"New York"	"36"	304	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"North Carolina"	"37"	180	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Ohio"	"39"	302	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Oklahoma"	"40"	60	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Oregon"	"41"	51	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Pennsylvania"	"42"	413	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Rhode Island"	"44"	28	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"South Carolina"	"45"	114	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Tennessee"	"47"	157	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Texas"	"48"	244	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Utah"	"49"	57	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Virginia"	"51"	112	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Washington"	"53"	88	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"West Virginia"	"54"	71	Not Applicable	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Wisconsin"	"55"	66	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Alabama"	"01"	73	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Arizona"	"04"	140	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Arkansas"	"05"	57	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"California"	"06"	406	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Colorado"	"08"	92	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Connecticut"	"09"	95	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Delaware"	"10"	33	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"District of Columbia"	"11"	28	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Florida"	"12"	412	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Georgia"	"13"	119	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Hawaii"	"15"	10	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Idaho"	"16"	23	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Illinois"	"17"	232	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Indiana"	"18"	124	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Iowa"	"19"	26	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Kansas"	"20"	29	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Kentucky"	"21"	91	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Louisiana"	"22"	101	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Maine"	"23"	22	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Maryland"	"24"	218	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Massachusetts"	"25"	213	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Michigan"	"26"	187	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Minnesota"	"27"	52	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Mississippi"	"28"	26	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Missouri"	"29"	125	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Montana"	"30"	12	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Nebraska"	"31"	14	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Nevada"	"32"	44	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"New Hampshire"	"33"	41	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"New Jersey"	"34"	260	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"New Mexico"	"35"	43	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"New York"	"36"	317	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"North Carolina"	"37"	208	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Ohio"	"39"	342	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Oklahoma"	"40"	78	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Oregon"	"41"	59	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Pennsylvania"	"42"	397	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Rhode Island"	"44"	29	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"South Carolina"	"45"	92	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Tennessee"	"47"	163	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Texas"	"48"	243	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Utah"	"49"	64	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Vermont"	"50"	18	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Virginia"	"51"	122	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Washington"	"53"	98	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"West Virginia"	"54"	75	Not Applicable	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Wisconsin"	"55"	105	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Alabama"	"01"	54	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Arizona"	"04"	150	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Arkansas"	"05"	44	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"California"	"06"	466	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Colorado"	"08"	69	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Connecticut"	"09"	109	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Delaware"	"10"	32	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"District of Columbia"	"11"	18	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Florida"	"12"	372	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Georgia"	"13"	126	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Hawaii"	"15"	20	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Idaho"	"16"	26	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Illinois"	"17"	209	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Indiana"	"18"	139	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Iowa"	"19"	27	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Kansas"	"20"	37	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Kentucky"	"21"	108	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Louisiana"	"22"	94	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Maine"	"23"	31	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Maryland"	"24"	218	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Massachusetts"	"25"	203	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Michigan"	"26"	223	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Minnesota"	"27"	52	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Mississippi"	"28"	24	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Missouri"	"29"	146	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Montana"	"30"	15	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Nebraska"	"31"	12	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Nevada"	"32"	65	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"New Hampshire"	"33"	25	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"New Jersey"	"34"	248	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"New Mexico"	"35"	60	Not Applicable	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"New York"	"36"	317	Not Applicable	Not Applicable	Not Applicable
