Notes	Month	Month Code	Residence State	Residence State Code	Deaths	Population	Crude Rate
	"Feb., 2024 (provisional)"	2024/02	Alabama	1	110	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Alaska	2	38	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Arizona	4	178	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Arkansas	5	29	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	California	6	795	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Colorado	8	137	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Connecticut	9	92	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Delaware	10	31	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	District of Columbia	11	27	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Florida	12	474	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Georgia	13	168	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Hawaii	15	15	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Idaho	16	32	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Illinois	17	212	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Indiana	18	156	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Iowa	19	43	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Kansas	20	44	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Kentucky	21	143	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Louisiana	22	136	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Maine	23	42	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Maryland	24	177	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Massachusetts	25	137	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Michigan	26	169	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Minnesota	27	85	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Mississippi	28	58	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Missouri	29	166	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Montana	30	14	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Nebraska	31	13	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Nevada	32	103	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	New Hampshire	33	34	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	New Jersey	34	190	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	New Mexico	35	64	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	New York	36	439	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	North Carolina	37	258	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	North Dakota	38	13	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Ohio	39	275	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Oklahoma	40	107	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Oregon	41	126	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Pennsylvania	42	310	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Rhode Island	44	30	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	South Carolina	45	135	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	South Dakota	46	10	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Tennessee	47	239	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Texas	48	439	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Utah	49	56	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Vermont	50	19	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Virginia	51	151	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Washington	53	302	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	West Virginia	54	83	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Wisconsin	55	118	Not Applicable	Not Applicable
	"Feb., 2024 (provisional)"	2024/02	Wyoming	56	10	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Alabama	1	118	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Alaska	2	29	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Arizona	4	204	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Arkansas	5	45	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	California	6	841	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Colorado	8	139	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Connecticut	9	100	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Delaware	10	31	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	District of Columbia	11	27	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Florida	12	521	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Georgia	13	173	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Hawaii	15	24	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Idaho	16	39	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Illinois	17	239	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Indiana	18	157	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Iowa	19	36	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Kansas	20	61	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Kentucky	21	136	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Louisiana	22	145	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Maine	23	58	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Maryland	24	161	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Massachusetts	25	167	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Michigan	26	191	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Minnesota	27	88	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Mississippi	28	40	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Missouri	29	131	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Montana	30	18	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Nevada	32	102	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	New Hampshire	33	31	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	New Jersey	34	174	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	New Mexico	35	63	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	New York	36	413	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	North Carolina	37	272	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	North Dakota	38	13	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Ohio	39	305	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Oklahoma	40	79	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Oregon	41	156	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Pennsylvania	42	278	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Rhode Island	44	28	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	South Carolina	45	141	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Tennessee	47	214	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Texas	48	402	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Utah	49	64	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Vermont	50	16	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Virginia	51	130	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Washington	53	283	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	West Virginia	54	100	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Wisconsin	55	111	Not Applicable	Not Applicable
	"Mar., 2024 (provisional)"	2024/03	Wyoming	56	16	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Alabama	1	109	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Alaska	2	29	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Arizona	4	186	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Arkansas	5	42	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	California	6	757	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Colorado	8	151	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Connecticut	9	84	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Delaware	10	26	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	District of Columbia	11	27	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Florida	12	454	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Georgia	13	163	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Hawaii	15	21	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Idaho	16	31	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Illinois	17	228	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Indiana	18	155	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Iowa	19	43	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Kansas	20	54	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Kentucky	21	127	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Louisiana	22	147	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Maine	23	42	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Maryland	24	158	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Massachusetts	25	147	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Michigan	26	174	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Minnesota	27	93	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Mississippi	28	40	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Missouri	29	134	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Montana	30	14	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Nebraska	31	13	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Nevada	32	108	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	New Hampshire	33	29	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	New Jersey	34	191	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	New Mexico	35	64	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	New York	36	410	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	North Carolina	37	258	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	North Dakota	38	10	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Ohio	39	298	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Oklahoma	40	75	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Oregon	41	128	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Pennsylvania	42	279	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Rhode Island	44	27	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	South Carolina	45	139	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Tennessee	47	223	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Texas	48	469	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Utah	49	70	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Vermont	50	10	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Virginia	51	155	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Washington	53	283	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	West Virginia	54	70	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Wisconsin	55	118	Not Applicable	Not Applicable
	"Apr., 2024 (provisional)"	2024/04	Wyoming	56	12	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Alabama	1	114	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Alaska	2	32	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Arizona	4	180	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Arkansas	5	33	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	California	6	770	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Colorado	8	152	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Connecticut	9	82	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Delaware	10	27	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	District of Columbia	11	32	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Florida	12	503	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Georgia	13	152	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Hawaii	15	29	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Idaho	16	36	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Illinois	17	244	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Indiana	18	141	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Iowa	19	33	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Kansas	20	46	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Kentucky	21	127	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Louisiana	22	127	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Maine	23	40	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Maryland	24	139	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Massachusetts	25	150	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Michigan	26	191	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Minnesota	27	83	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Mississippi	28	47	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Missouri	29	144	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Montana	30	14	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Nebraska	31	14	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Nevada	32	102	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	New Hampshire	33	21	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	New Jersey	34	165	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	New Mexico	35	70	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	New York	36	394	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	North Carolina	37	240	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	North Dakota	38	12	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Ohio	39	302	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Oklahoma	40	81	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Oregon	41	145	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Pennsylvania	42	299	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Rhode Island	44	41	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	South Carolina	45	120	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Tennessee	47	226	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Texas	48	454	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Utah	49	52	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Vermont	50	16	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Virginia	51	166	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Washington	53	287	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	West Virginia	54	63	Not Applicable	Not Applicable
	"May, 2024 (provisional)"	2024/05	Wisconsin	55	110	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Alabama	1	110	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Alaska	2	36	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Arizona	4	218	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Arkansas	5	36	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	California	6	811	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Colorado	8	156	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Connecticut	9	96	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Delaware	10	41	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	District of Columbia	11	26	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Florida	12	424	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Georgia	13	209	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Hawaii	15	40	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Idaho	16	29	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Illinois	17	183	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Indiana	18	147	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Iowa	19	37	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Kansas	20	50	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Kentucky	21	139	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Louisiana	22	144	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Maine	23	40	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Maryland	24	172	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Massachusetts	25	128	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Michigan	26	184	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Minnesota	27	81	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Mississippi	28	33	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Missouri	29	133	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Montana	30	13	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Nebraska	31	16	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Nevada	32	136	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	New Hampshire	33	26	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	New Jersey	34	144	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	New Mexico	35	53	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	New York	36	371	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	North Carolina	37	232	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	North Dakota	38	10	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Ohio	39	265	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Oklahoma	40	116	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Oregon	41	124	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Pennsylvania	42	308	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Rhode Island	44	34	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	South Carolina	45	104	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Tennessee	47	184	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Texas	48	451	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Utah	49	64	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Vermont	50	32	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Virginia	51	121	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Washington	53	245	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	West Virginia	54	73	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Wisconsin	55	73	Not Applicable	Not Applicable
	"Jun., 2024 (provisional)"	2024/06	Wyoming	56	10	Not Applicable	Not Applicable
	"Jul., 2024 (provisional)"	2024/07	Alabama	1	75	Not Applicable	Not Applicable
	"Jul., 2024 (provisional)"	2024/07	Alaska	2	27	Not Applicable	Not Applicable
	"Jul., 2024 (provisional)"	2024/07	Arizona	4	299	Not Applicable	Not Applicable
	"Jul., 2024 (provisional)"	2024/07	Arkansas	5	30	Not Applicable	Not Applicable
	"Jul., 2024 (provisional)"	2024/07	California	6	752	Not Applicable	Not Applicable
	"Jul., 2024 (provisional)"	2024/07	Colorado	8	118	Not Applicable	Not Applicable
	"Jul., 2024 (provisional)"	2024/07	Connecticut	9	74	Not Applicable	Not Applicable
	"Jul., 2024 (provisional)"	2024/07	Delaware	10	20	Not Applicable	Not Applicable
